id,Title,tags
1,Spider-Man: No Way Home,"peter parker is unmask and no longer abl to separ hi normal life from the high-stak of be a super-hero. when he ask for help from doctor strang the stake becom even more dangerous, forc him to discov what it truli mean to be spider-man. action adventur sciencefict"
2,The Batman,"in hi second year of fight crime, batman uncov corrupt in gotham citi that connect to hi own famili while face a serial killer known as the riddler. crime mysteri thriller"
3,No Exit,"strand at a rest stop in the mountain dure a blizzard, a recov addict discov a kidnap child hidden in a car belong to one of the peopl insid the build which set her on a terrifi struggl to identifi who among them is the kidnapper. thriller"
4,Encanto,"the tale of an extraordinari family, the madrigals, who live hidden in the mountain of colombia, in a magic house, in a vibrant town, in a wondrous, charm place call an encanto. the magic of the encanto ha bless everi child in the famili with a uniqu gift from super strength to the power to healâ€”everi child except one, mirabel. but when she discov that the magic surround the encanto is in danger, mirabel decid that she, the onli ordinari madrigal, might just be her except family' last hope. anim comedi famili fantasi"
5,The King's Man,"as a collect of history' worst tyrant and crimin mastermind gather to plot a war to wipe out millions, one man must race against time to stop them. action adventur thriller war"
6,The Commando,"an elit dea agent return home after a fail mission when hi famili make an unexpect discoveri in their hous â€“ a stash of money worth $3 million. they soon face the danger and threat of a newli releas crimin and hi crew, who will do whatev it take to retriev the money, includ kidnap the agentâ€™ daughters. stake are high and live are at risk in thi head-to-head battl as the agent stop at noth to protect hi famili against the money-hungri criminals. action crime thriller"
7,Scream,"twenty-f year after a streak of brutal murder shock the quiet town of woodsboro, a new killer ha don the ghostfac mask and begin target a group of teenag to resurrect secret from the townâ€™ deadli past. horror mysteri thriller"
8,Kimi,"a tech worker with agoraphobia discov record evid of a violent crime but is met with resist when she tri to report it. seek justice, she must do the thing she fear the most: she must leav her apartment. thriller"
9,Fistful of Vengeance,a reveng mission becom a fight to save the world from an ancient threat when superpow assassin kai track a killer to bangkok. action crime fantasi
10,Eternals,"the etern are a team of ancient alien who have been live on earth in secret for thousand of years. when an unexpect tragedi forc them out of the shadows, they are forc to reunit against mankindâ€™ most ancient enemy, the deviants. sciencefict"
